Nome giocatore,Quota,Ruolo,Squadra avversaria,Squadra di appartenenza
ABANKWAH J.,20.0,Non Trovato,Udinese,Lazio
BIJOL J.,12.0,Difensore,Udinese,Lazio
BRAVO IKER,4.5,Attaccante,Udinese,Lazio
BRENNER,5.0,Attaccante,Udinese,Lazio
DAVIS K.,5.0,Attaccante,Udinese,Lazio
DIAWARA S.,5.0,Non Trovato,Udinese,Lazio
EBOSELE F.,12.0,Difensore,Udinese,Lazio
EBOSSE E.,16.0,Difensore,Udinese,Lazio
EHIZIBUE K.,12.0,Difensore,Udinese,Lazio
EKKELENKAMP J.,7.5,Centrocampista,Udinese,Lazio
GIANNETTI L.,12.0,Difensore,Udinese,Lazio
GUESSAND A.,20.0,Non Trovato,Udinese,Lazio
KABASELE C.,20.0,Difensore,Udinese,Lazio
KAMARA H.,12.0,Difensore,Udinese,Lazio
KARLSTROM J.,12.0,Centrocampista,Udinese,Lazio
KRISTENSEN T.,20.0,Difensore,Udinese,Lazio
LOVRIC S.,6.0,Centrocampista,Udinese,Lazio
LUCCA L.,4.0,Attaccante,Udinese,Lazio
PAYERO M.,9.0,Centrocampista,Udinese,Lazio
PEJICIC D.,6.0,Non Trovato,Udinese,Lazio
PEREZ NEHUEN,20.0,Difensore,Udinese,Lazio
PIZARRO DAMIAN,5.0,Attaccante,Udinese,Lazio
QUINA D.,9.0,Non Trovato,Udinese,Lazio
SANCHEZ ALEXIS,5.0,Attaccante,Udinese,Lazio
SUCCESS I.,5.0,Attaccante,Udinese,Lazio
THAUVIN F.,4.5,Attaccante,Udinese,Lazio
ZARRAGA O.,12.0,Centrocampista,Udinese,Lazio
ZEMURA J.,9.0,Difensore,Udinese,Lazio
AKPA AKPRO J.,9.0,Centrocampista,Lazio,Udinese
ANDRE ANDERSON,5.0,Non Trovato,Lazio,Udinese
CASALE N.,12.0,Difensore,Lazio,Udinese
CASTELLANOS V.,3.15,Attaccante,Lazio,Udinese
CASTROVILLI G.,6.0,Centrocampista,Lazio,Udinese
CATALDI D.,12.0,Centrocampista,Lazio,Udinese
DELE-BASHIRU F.,6.0,Centrocampista,Lazio,Udinese
GILA MARIO,16.0,Difensore,Lazio,Udinese
GONZALEZ DIEGO,6.0,Attaccante,Lazio,Udinese
GUENDOUZI M.,9.0,Centrocampista,Lazio,Udinese
HYSAJ E.,20.0,Difensore,Lazio,Udinese
ISAKSEN G.,4.5,Attaccante,Lazio,Udinese
LAZZARI M.,12.0,Difensore,Lazio,Udinese
MARUSIC A.,12.0,Difensore,Lazio,Udinese
NOSLIN T.,4.5,Attaccante,Lazio,Udinese
PATRIC,20.0,Difensore,Lazio,Udinese
PEDRO,6.0,Attaccante,Lazio,Udinese
PELLEGRINI LUCA,16.0,Difensore,Lazio,Udinese
ROMAGNOLI A.,16.0,Difensore,Lazio,Udinese
ROVELLA N.,12.0,Centrocampista,Lazio,Udinese
TAVARES N.,12.0,Difensore,Lazio,Udinese
TCHAOUNA L.,5.0,Centrocampista,Lazio,Udinese
VECINO M.,7.5,Non Trovato,Lazio,Udinese
